episode_number,game_number,rank_after,rank_letter,result,rank_change,level_rating,vs_level,level_style
37,933,3789,A,Loss,-13,Unknown,No,SMB1
37,934,3776,A,Loss,-13,Unknown,No,SMB1
37,935,3763,A,Loss,-13,Unknown,No,SM3DW
37,936,3747,A,Loss,-16,Unknown,No,NSMBU
37,937,3733,A,Loss,-14,Unknown,No,SMB1
37,938,3731,A,Loss,-2,Like,No,NSMBU
37,939,3716,A,Loss,-15,Boo,No,SMB1
37,940,3700,A,Loss,-16,Unknown,Yes,SMB1
37,941,3749,A,Win,49,Meh,No,SMB1
37,942,3747,A,Loss,-2,Unknown,No,NSMBU
37,943,3733,A,Loss,-14,Unknown,No,NSMBU
37,944,3720,A,Loss,-13,Unknown,No,NSMBU
37,945,3702,A,Loss,-18,Unknown,No,SMB1
37,946,3688,A,Loss,-14,Unknown,No,NSMBU
37,947,3670,A,Loss,-18,Unknown,No,SM3DW
37,948,3667,A,Loss,-3,Unknown,Yes,SMB1
37,949,3713,A,Win,46,Unknown,No,SM3DW
37,950,3699,A,Loss,-14,None,No,SMB1
